,ll_perc_E,ll_perc_G,investment_solar,investment_wind,investment_storage_gas,investment_storage_liquid,investment_cost,operational_cost,operational_cost_1,operational_cost_2,operational_cost_3,operational_cost_4,operational_cost_5,operational_cost_6,operational_cost_7,operational_cost_8,operational_cost_9,ll_dual_E_1,ll_dual_E_2,ll_dual_E_3,ll_dual_E_4,ll_dual_E_5,ll_dual_E_6,ll_dual_E_7,ll_dual_E_8,ll_dual_E_9,ll_dual_G_1,ll_dual_G_2,ll_dual_G_3,ll_dual_G_4,ll_dual_G_5,ll_dual_G_6,ll_dual_G_7,ll_dual_G_8,ll_dual_G_9
0,0.0,0.0,400000*buildNumSolar[8],3000000*buildNumWind[9],20000*buildNumStorageGas[10],800000*buildNumStorageLiquid[12],400000*buildNumSolar[8] + 3000000*buildNumWind[9] + 20000*buildNumStorageGas[10] + 800000*buildNumStorageLiquid[12],5786757.114357649,95319.04856538463,4787.735984999671,1822712.0506241487,89792.9848312116,4564.8172597471585,1768834.983299731,101301.62416051257,5128.234743225025,1894315.6348886893,-99.1567272313948,-6.974904511819052,-240.06344363246018,-51.230975736220614,-0.37213282076900284,-45.55360059788721,-51.230975736220614,-1.3499815184165906,-79.00493880194155,-3.718377271177305,-0.26155891919321445,-9.002379136217257,-1.9211615901082733,-0.013954980778837608,-1.7082600224207702,-1.9211615901082733,-0.05062430694062215,-2.962685205072808
1,0.0,0.001,400000*buildNumSolar[8],3000000*buildNumWind[9],20000*buildNumStorageGas[10],800000*buildNumStorageLiquid[12],400000*buildNumSolar[8] + 3000000*buildNumWind[9] + 20000*buildNumStorageGas[10] + 800000*buildNumStorageLiquid[12],5719304.639004395,92251.64399244312,4441.33407123851,1808491.4292902274,86794.92618681808,4219.460384412419,1754890.3532294652,98234.21958757109,4717.892589931283,1865263.3796722877,-99.1567272313948,-5.7680587219195445,-235.36026975575106,-49.360288877955085,-0.37213282076900284,-44.65696325558557,-51.230975736220614,-1.1163984623070085,-15.48796410531998,-3.718377271177305,-0.21630220207198292,-8.826010115840665,-1.851010832923316,-0.013954980778837608,-1.674636122084459,-1.9211615901082733,-0.04186494233651281,-0.5807986539494993
2,0.0,0.002,400000*buildNumSolar[8],3000000*buildNumWind[9],20000*buildNumStorageGas[10],800000*buildNumStorageLiquid[12],400000*buildNumSolar[8] + 3000000*buildNumWind[9] + 20000*buildNumStorageGas[10] + 800000*buildNumStorageLiquid[12],5667595.556474172,89314.1409347685,4095.9771959037707,1794624.3227778075,83866.111041064,3874.1035090776804,1741144.3692033435,95207.75074313745,4372.535714596543,1851096.245354473,-91.96966901141334,-5.7680587219195445,-230.7276434871926,-47.517662322563545,-0.37213282076900284,-43.77377547341845,-47.517662322563545,-1.1163984623070085,-14.885654418528526,-3.4488625879279997,-0.21630220207198292,-8.652286630769721,-1.7819123370961327,-0.013954980778837608,-1.6415165802531921,-1.7819123370961327,-0.04186494233651281,-0.5582120406948198
3,0.0,0.003,400000*buildNumSolar[8],3000000*buildNumWind[9],20000*buildNumStorageGas[10],800000*buildNumStorageLiquid[12],400000*buildNumSolar[8] + 3000000*buildNumWind[9] + 20000*buildNumStorageGas[10] + 800000*buildNumStorageLiquid[12],5618170.142289385,86555.91854427855,3780.809332916361,1781221.9765455893,81117.1025585967,3576.117207667352,1727898.9278745912,92439.11075611202,4027.1788392618037,1837553.0006303727,-88.45679064290879,-5.7680587219195445,-221.66981679125035,-45.70267516550288,-0.37213282076900284,-42.04694464203076,-45.70267516550288,-1.1163984623070085,-14.591258491139492,-3.3171296491090794,-0.17172433570756984,-8.31261812967189,-1.7138503187063578,-0.011078989400488376,-1.5767604240761535,-1.7138503187063578,-0.04186494233651281,-0.5471721934177309
4,0.0,0.004,400000*buildNumSolar[8],3000000*buildNumWind[9],20000*buildNumStorageGas[10],800000*buildNumStorageLiquid[12],400000*buildNumSolar[8] + 3000000*buildNumWind[9] + 20000*buildNumStorageGas[10] + 800000*buildNumStorageLiquid[12],5569751.96388329,83819.51556183035,3557.4818619986963,1768049.5518516123,78385.35623196409,3360.204145131537,1714891.742797556,89702.7077736639,3785.1701629898794,1824200.2334965426,-88.45679064290879,-5.7680587219195445,-217.24254731715945,-43.91491281579811,-0.37213282076900284,-42.04694464203076,-45.70267516550288,-1.1163984623070085,-14.301278502661287,-3.3171296491090794,-0.12781513733862296,-8.14659552439348,-1.6468092305924291,-0.008246137892814386,-1.5767604240761535,-1.7138503187063578,-0.024738413678443157,-0.5362979438497983
5,0.0,0.005,400000*buildNumSolar[8],3000000*buildNumWind[9],20000*buildNumStorageGas[10],800000*buildNumStorageLiquid[12],400000*buildNumSolar[8] + 3000000*buildNumWind[9] + 20000*buildNumStorageGas[10] + 800000*buildNumStorageLiquid[12],5524187.63809614,81161.07031895754,3353.407025825472,1755739.63388627,75802.49387923547,3156.1293089583132,1702678.4160546754,86994.17598998836,3581.095326816655,1811721.2163054121,-84.99660544993183,-5.7680587219195445,-204.35522354706254,-43.91491281579811,-0.37213282076900284,-38.74600122031624,-45.70267516550288,-1.1163984623070085,-13.184207970778203,-3.0595621138068574,-0.12781513733862296,-7.663320883014846,-1.58077375880021,-0.008246137892814386,-1.452975045761859,-1.6468092305924291,-0.024738413678443157,-0.4944077989041827
6,0.0,0.006,400000*buildNumSolar[8],3000000*buildNumWind[9],20000*buildNumStorageGas[10],800000*buildNumStorageLiquid[12],400000*buildNumSolar[8] + 3000000*buildNumWind[9] + 20000*buildNumStorageGas[10] + 800000*buildNumStorageLiquid[12],5479760.524585087,78646.95782572859,3149.3321896522484,1743657.8497066402,73388.57565647748,2975.066379252608,1690696.7975843698,84383.2776158484,3377.0204906434315,1799485.6471364736,-81.58832303484954,-5.7680587219195445,-200.18767297163438,-38.71092142574046,-0.29543971734635677,-37.95147786867816,-43.91491281579811,-1.1163984623070085,-13.184207970778203,-2.933668682099754,-0.12781513733862296,-7.50703773643629,-1.388551326829955,-0.005455779157755504,-1.4231804200754312,-1.58077375880021,-0.024738413678443157,-0.4944077989041827
7,0.0,0.007,400000*buildNumSolar[8],3000000*buildNumWind[9],20000*buildNumStorageGas[10],800000*buildNumStorageLiquid[12],400000*buildNumSolar[8] + 3000000*buildNumWind[9] + 20000*buildNumStorageGas[10] + 800000*buildNumStorageLiquid[12],5437832.8654815,76407.26001485443,3001.5986392213376,1732115.2631560662,71213.08639149103,2840.0471433038083,1679341.8238380475,81897.54708177016,3191.786848831058,1787824.4523679137,-74.92436404982021,-4.579315618868529,-196.08263565483765,-37.02803538213213,-0.29543971734635677,-37.95147786867816,-40.41943517559662,-0.8863191520390702,-12.915333740105421,-2.687518697090234,-0.0845645769452103,-7.052113652516392,-1.3263897235941726,-0.005455779157755504,-1.3649252230676856,-1.4516595534652672,-0.01636733747326651,-0.46461090459143356
8,0.0,0.008,400000*buildNumSolar[8],3000000*buildNumWind[9],20000*buildNumStorageGas[10],800000*buildNumStorageLiquid[12],400000*buildNumSolar[8] + 3000000*buildNumWind[9] + 20000*buildNumStorageGas[10] + 800000*buildNumStorageLiquid[12],5397040.38635999,74228.18487030432,2866.5794032725385,1720855.572259679,69095.31872186672,2705.0279073550087,1668241.303583296,79665.33737359106,3056.767612882258,1776326.2946277428,-71.66716525573955,-4.579315618868529,-196.08263565483765,-37.02803538213213,-0.29543971734635677,-37.16887236731467,-38.71092142574046,-0.8863191520390702,-12.915333740105421,-2.56720591663388,-0.0845645769452103,-7.052113652516392,-1.3263897235941726,-0.005455779157755504,-1.3364513447216706,-1.388551326829955,-0.01636733747326651,-0.46461090459143356
9,0.0,0.009000000000000001,400000*buildNumSolar[8],3000000*buildNumWind[9],20000*buildNumStorageGas[10],800000*buildNumStorageLiquid[12],400000*buildNumSolar[8] + 3000000*buildNumWind[9] + 20000*buildNumStorageGas[10] + 800000*buildNumStorageLiquid[12],5356710.8818696635,72110.41720068004,2731.560167323738,1709595.8813632906,67057.40045195067,2570.0086714062086,1657216.502528036,77498.59723207043,2921.748376933458,1765008.7658779724,-71.66716525573955,-4.579315618868529,-196.08263565483765,-35.370392629177935,-0.29543971734635677,-37.16887236731467,-37.02803538213213,-0.8863191520390702,-12.650492622892731,-2.56720591663388,-0.0845645769452103,-7.052113652516392,-1.2651605444069267,-0.005455779157755504,-1.3364513447216706,-1.3263897235941726,-0.01636733747326651,-0.45497507435589557
